domain,name,type,common_rank,first_rank_total,first_total_births,first_male_births,first_female_births,first_recent_2020_births,first_first_year,first_last_year,first_peak_year,first_peak_year_births,first_best_sex,surname_rank_2010,surname_count_2010,surname_prop100k_2010,rdap_status,checked_at_utc
jeniyah.com,jeniyah,first,16835,16835,511,0,511,11,1999,2020,2008,41,F,,,,available,2026-05-30T06:09:37.115Z
niylah.com,niylah,first,16863,16863,510,0,510,52,2004,2020,2017,53,F,,,,available,2026-05-30T06:09:37.115Z
shakeena.com,shakeena,first,16908,16908,508,0,508,0,1973,2006,1983,35,F,,,,available,2026-05-30T06:09:37.115Z
tymere.com,tymere,first,16912,16912,508,508,0,18,1991,2020,2007,33,M,,,,available,2026-05-30T06:09:37.115Z
jaylanie.com,jaylanie,first,16994,16994,504,0,504,35,2004,2020,2013,48,F,,,,available,2026-05-30T06:09:37.115Z
kayonna.com,kayonna,first,16995,16995,504,0,504,15,1977,2020,2008,27,F,,,,available,2026-05-30T06:09:37.115Z
quantavious.com,quantavious,first,16997,16997,504,504,0,5,1980,2020,1997,38,M,,,,available,2026-05-30T06:09:37.115Z
nayelie.com,nayelie,first,17032,17032,502,0,502,10,1993,2020,2001,53,F,,,,available,2026-05-30T06:09:37.115Z
raequan.com,raequan,first,17059,17059,501,501,0,5,1994,2020,1996,63,M,,,,available,2026-05-30T06:09:37.115Z
tatiyanna.com,tatiyanna,first,17075,17075,500,0,500,0,1993,2017,1999,35,F,,,,available,2026-05-30T06:09:37.115Z
ariyonna.com,ariyonna,first,17097,17097,498,0,498,14,1998,2020,2012,38,F,,,,available,2026-05-30T06:09:37.115Z
shanyia.com,shanyia,first,17122,17122,498,0,498,0,1995,2019,2002,41,F,,,,available,2026-05-30T06:09:37.115Z
shronda.com,shronda,first,17139,17139,497,0,497,0,1963,1998,1978,37,F,,,,available,2026-05-30T06:09:37.115Z
tylisha.com,tylisha,first,17141,17141,497,0,497,0,1972,2009,1993,31,F,,,,available,2026-05-30T06:09:37.115Z
darrold.com,darrold,first,17151,17151,496,496,0,0,1917,1988,1933,19,M,,,,available,2026-05-30T06:09:37.115Z
shawntell.com,shawntell,first,17180,17180,495,0,495,0,1968,2007,1974,31,F,,,,available,2026-05-30T06:09:37.115Z
gregery.com,gregery,first,17201,17201,493,493,0,0,1949,2012,1961,21,M,,,,available,2026-05-30T06:09:37.115Z
kamaree.com,kamaree,first,17203,17203,493,318,175,20,1996,2020,2008,29,M,,,,available,2026-05-30T06:09:37.115Z
alfreida.com,alfreida,first,17215,17215,492,0,492,0,1914,1976,1958,20,F,,,,available,2026-05-30T06:09:37.115Z
daquon.com,daquon,first,17219,17219,492,492,0,0,1987,2010,1996,47,M,,,,available,2026-05-30T06:09:37.115Z
carletha.com,carletha,first,17299,17299,488,0,488,0,1928,1999,1962,20,F,,,,available,2026-05-30T06:09:37.115Z
louellen.com,louellen,first,17321,17321,488,0,488,0,1910,2017,1942,22,F,,,,available,2026-05-30T06:09:37.115Z
nayelly.com,nayelly,first,17327,17327,488,0,488,0,1987,2018,2001,60,F,,,,available,2026-05-30T06:09:37.115Z
keonta.com,keonta,first,17345,17345,487,423,64,6,1978,2020,1996,27,M,,,,available,2026-05-30T06:09:37.115Z
geraldyne.com,geraldyne,first,17363,17363,486,0,486,0,1910,2012,1924,27,F,,,,available,2026-05-30T06:09:37.115Z
nichalos.com,nichalos,first,17391,17391,485,485,0,0,1973,2012,1989,26,M,,,,available,2026-05-30T06:09:37.115Z
ilijah.com,ilijah,first,17402,17402,484,484,0,14,1996,2020,2012,32,M,,,,available,2026-05-30T06:09:37.115Z
